"PVWatts Hourly PV Performance Data"
"Requested Location","symlar"
"Location","Lat, Lng: 34.33, -118.46"
"Latitude (DD)","34.33"
"Longitude (DD)","-118.46"
"Elevation (m)","655.79998779297"
"DC System Size (kW)","4000"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","9","1.7","0.12","0","9","0","0"
"1","1","1","0","0","9","1.5","0.12","0","9","0","0"
"1","1","2","0","0","9","1.5","0.12","0","9","0","0"
"1","1","3","0","0","8","1.5","0.12","0","8","0","0"
"1","1","4","0","0","8","1.6","0.12","0","8","0","0"
"1","1","5","0","0","7","1.8","0.12","0","7","0","0"
"1","1","6","0","0","7","2","0.12","0","7","0","0"
"1","1","7","252","28","10","3","0.12","93.344","11.766","255248.842","230350.111"
"1","1","8","600","68","13","3.8","0.12","362.556","19.489","1269024.225","1208203.401"
"1","1","9","757","87","16","3.8","0.12","581.199","26.437","2019805.33","1932381.346"
"1","1","10","906","76","19","3.5","0.12","757.829","33.222","2552747.315","2446439.078"
"1","1","11","936","79","20","3","0.12","837.138","37.016","2766324.512","2652448.385"
"1","1","12","939","78","21","2.6","0.12","835.842","39.217","2738669.989","2625773.773"
"1","1","13","923","72","21","2.3","0.12","758.401","38.494","2503954.502","2399375.188"
"1","1","14","858","64","20","1.9","0.12","604.306","35.119","2035415.099","1947437.999"
"1","1","15","720","51","17","1.2","0.12","384.394","28.181","1295035.334","1233292.833"
"1","1","16","358","22","14","0.9","0.12","89.374","16.427","198285.493","175405.199"
"1","1","17","0","0","12","1.2","0.12","0","12","0","0"
"1","1","18","0","0","10","1.4","0.12","0","10","0","0"
"1","1","19","0","0","9","1.5","0.12","0","9","0","0"
"1","1","20","0","0","8","1.5","0.12","0","8","0","0"
"1","1","21","0","0","8","1.6","0.12","0","8","0","0"
"1","1","22","0","0","7","1.7","0.12","0","7","0","0"
"1","1","23","0","0","7","1.9","0.12","0","7","0","0"
"1","2","0","0","0","7","2","0.12","0","7","0","0"
"1","2","1","0","0","7","2.1","0.12","0","7","0","0"
"1","2","2","0","0","7","2.1","0.12","0","7","0","0"
"1","2","3","0","0","7","2.3","0.12","0","7","0","0"
"1","2","4","0","0","8","2.6","0.12","0","8","0","0"
"1","2","5","0","0","8","3","0.12","0","8","0","0"
"1","2","6","0","0","8","3.4","0.12","0","8","0","0"
"1","2","7","440","24","10","4.5","0.12","124.567","11.86","333573.092","305899.02"
"1","2","8","773","48","13","5.7","0.12","416.585","18.817","1466233.113","1398424.394"
"1","2","9","901","59","16","6.6","0.12","631.482","24.016","2219914.106","2125399.473"
"1","2","10","962","65","18","7","0.12","786.042","27.559","2706577.023","2594817.988"
"1","2","11","984","68","19","7","0.12","862.77","29.482","2935571.385","2815698.169"
"1","2","12","982","67","19","6.9","0.12","857.86","29.528","2919026.627","2799739.658"
"1","2","13","957","64","19","6.8","0.12","775.072","28.62","2659484.106","2549393.76"
"1","2","14","892","60","18","6.2","0.12","618.049","26.19","2155780.949","2063538.808"
"1","2","15","682","45","16","4.5","0.12","362.601","21.871","1251539.839","1191338.556"
"1","2","16","390","23","13","2.9","0.12","98.206","14.753","220084.726","196431.999"
"1","2","17","0","0","11","2.7","0.12","0","11","0","0"
"1","2","18","0","0","11","2.8","0.12","0","11","0","0"
"1","2","19","0","0","10","2.9","0.12","0","10","0","0"
"1","2","20","0","0","10","2.9","0.12","0","10","0","0"
"1","2","21","0","0","10","3","0.12","0","10","0","0"
"1","2","22","0","0","10","3.1","0.12","0","10","0","0"
"1","2","23","0","0","10","3.2","0.12","0","10","0","0"
"1","3","0","0","0","10","3.2","0.12","0","10","0","0"
"1","3","1","0","0","9","3.1","0.12","0","9","0","0"
"1","3","2","0","0","9","3","0.12","0","9","0","0"
"1","3","3","0","0","9","3.1","0.12","0","9","0","0"
"1","3","4","0","0","8","3.2","0.12","0","8","0","0"
"1","3","5","0","0","8","3.3","0.12","0","8","0","0"
"1","3","6","0","0","8","3.5","0.12","0","8","0","0"
"1","3","7","466","24","10","4.3","0.12","129.314","11.98","344597.9","316533.176"
"1","3","8","788","47","13","5.3","0.12","421.713","19.174","1482309.36","1413930.995"
"1","3","9","911","58","16","5.9","0.12","636.233","24.716","2230897.746","2135993.919"
"1","3","10","964","65","19","6","0.12","787.732","29.651","2690757.27","2579558.791"
"1","3","11","985","68","20","5.5","0.12","864.284","32.365","2908128.208","2789227.413"
"1","3","12","982","69","21","5.1","0.12","861.414","33.938","2881211.222","2763264.203"
"1","3","13","959","65","21","4.8","0.12","779.26","33.171","2627002.975","2518063.565"
"1","3","14","898","59","20","4.2","0.12","622.236","30.554","2134351.723","2042868.905"
"1","3","15","767","47","17","2.7","0.12","404.043","25.632","1378892.619","1314178.721"
"1","3","16","417","22","13","1.6","0.12","105.159","15.441","241541.657","217128.626"
"1","3","17","0","0","11","1.6","0.12","0","11","0","0"
"1","3","18","0","0","10","1.7","0.12","0","10","0","0"
"1","3","19","0","0","10","1.8","0.12","0","10","0","0"
"1","3","20","0","0","9","1.9","0.12","0","9","0","0"
"1","3","21","0","0","9","2","0.12","0","9","0","0"
"1","3","22","0","0","9","2.1","0.12","0","9","0","0"
"1","3","23","0","0","8","2","0.12","0","8","0","0"
"1","4","0","0","0","8","2","0.12","0","8","0","0"
"1","4","1","0","0","8","2","0.12","0","8","0","0"
"1","4","2","0","0","7","2","0.12","0","7","0","0"
"1","4","3","0","0","7","2","0.12","0","7","0","0"
"1","4","4","0","0","7","2","0.12","0","7","0","0"
"1","4","5","0","0","7","2","0.12","0","7","0","0"
"1","4","6","0","0","7","2","0.12","0","7","0","0"
"1","4","7","449","24","10","2.4","0.12","125.471","12.603","332520.736","304883.954"
"1","4","8","770","48","14","3","0.12","414.148","22.41","1437279.409","1370496.634"
"1","4","9","891","60","18","3","0.12","626.09","30.763","2144825.346","2052971.407"
"1","4","10","950","66","21","2.7","0.12","778.951","37.693","2578703.249","2471475.29"
"1","4","11","972","69","22","2.3","0.12","855.96","41.723","2775777.537","2661566.452"
"1","4","12","972","69","23","2","0.12","854.75","43.891","2747885.113","2634662.367"
"1","4","13","946","66","23","1.8","0.12","772.564","42.7","2507372.82","2402672.382"
"1","4","14","885","60","22","1.3","0.12","617.242","39.627","2042181.358","1953964.503"
"1","4","15","755","48","19","0.8","0.12","401.491","31.937","1337796.388","1274538.693"
"1","4","16","413","23","16","0.9","0.12","108.258","19.024","255693.771","230779.274"
